Image,Inference Time,Scores,Entities
0.jpg,5.6982738971710205,"[0.63712656 0.26181653 0.22758274 0.15645891 0.11510906 0.11156464
 0.10594597 0.10273084 0.09908649 0.09426921 0.09381419 0.08617309
 0.0830226  0.07904375 0.0775523  0.07448462 0.0737846  0.07192583
 0.06882814 0.06872474 0.06542486 0.06527557 0.06493186 0.06437884
 0.06437007 0.06332831 0.06324504 0.06245357 0.06158947 0.06132378
 0.06053906 0.06003402 0.05947697 0.05909108 0.05898555 0.0588977
 0.05866818 0.05864989 0.05857717 0.05854082 0.05852147 0.0580999
 0.05724699 0.05624115 0.0550915  0.05461584 0.05392842 0.0532698
 0.05315832 0.05296094 0.05295587 0.05234846 0.05234806 0.05180236
 0.05151547 0.05129641 0.05102629 0.05073608 0.05054742 0.05048545
 0.05026489 0.04978856 0.0493961  0.04934759 0.04915706 0.04851612
 0.04846814 0.04760994 0.04758823 0.04730689 0.04720545 0.0468772
 0.04663336 0.04650895 0.04613439 0.04605074 0.04579438 0.04553435
 0.04553395 0.04524896 0.04520679 0.04494104 0.0441719  0.04408134
 0.04402436 0.04360537 0.04335087 0.04332819 0.04330778 0.04323437
 0.04307525 0.04227595 0.04216905 0.04204807 0.0418568  0.04174624
 0.04149721 0.04141368 0.04138767 0.0413308 ]","[b'Cat' b'Cat' b'Human face' b'Cat' b'Human face' b'Cat' b'Human arm'
 b'Human face' b'Person' b'Cat' b'Human arm' b'Human face' b'Clothing'
 b'Cat' b'Human face' b'Cat' b'Cat' b'Human face' b'Clothing'
 b'Human hair' b'Human face' b'Human face' b'Human arm' b'Cat'
 b'Human arm' b'Human face' b'Human hair' b'Human arm' b'Human arm'
 b'Clothing' b'Human arm' b'Furniture' b'Human arm' b'Cat' b'Clothing'
 b'Cat' b'Cat' b'Human arm' b'Clothing' b'Human face' b'Clothing'
 b'Clothing' b'Human face' b'Cat' b'Human face' b'Human head' b'Clothing'
 b'Man' b'Person' b'Clothing' b'Human face' b'Clothing' b'Human arm'
 b'Cat' b'Cat' b'Human face' b'Cat' b'Human face' b'Clothing' b'Clothing'
 b'Cat' b'Clothing' b'Human arm' b'Furniture' b'Clothing' b'Clothing'
 b'Human eye' b'Human face' b'Clothing' b'Clothing' b'Human arm'
 b'Clothing' b'Human face' b'Human arm' b'Human arm' b'Clothing'
 b'Human face' b'Clothing' b'Man' b'Human arm' b'Human arm' b'Clothing'
 b'Clothing' b'Human face' b'Man' b'Clothing' b'Human face' b'Clothing'
 b'Clothing' b'Human mouth' b'Man' b'Human face' b'Human face'
 b'Human face' b'Table' b'Clothing' b'Clothing' b'Cat' b'Cat' b'Person']"
1.jpg,0.06973075866699219,"[0.96359015 0.10365651 0.08816447 0.08091851 0.07790826 0.07722799
 0.07308947 0.07275005 0.06855778 0.06376234 0.06166455 0.05844216
 0.0572656  0.05689938 0.05672936 0.05537402 0.05456942 0.0537968
 0.05364542 0.05312067 0.05203241 0.05070378 0.05022009 0.05003215
 0.04992294 0.04964906 0.04912943 0.04778034 0.04700533 0.04684299
 0.04658473 0.04636515 0.04627407 0.04599367 0.04590387 0.04528809
 0.04513727 0.04479604 0.04468404 0.0445362  0.04408879 0.04389927
 0.04382367 0.04306243 0.04306188 0.04278189 0.04236085 0.04235554
 0.04210115 0.04079191 0.04037466 0.0399144  0.03976805 0.03962561
 0.03957938 0.03950971 0.03936442 0.03926872 0.03893137 0.03877146
 0.03854235 0.03826998 0.0381664  0.03792724 0.03783588 0.03763838
 0.03763074 0.03716722 0.03692323 0.03666576 0.03634459 0.03632146
 0.03625121 0.03624628 0.03595994 0.03593099 0.03583149 0.03580216
 0.03578925 0.03558393 0.03551509 0.03516138 0.03502487 0.03499411
 0.03487078 0.0347974  0.03470564 0.03446534 0.03442838 0.03441252
 0.03436935 0.03416387 0.03415734 0.03414927 0.03396434 0.03394863
 0.03393111 0.03392983 0.03381692 0.03370191]","[b'Cat' b'Tree' b'Human nose' b'Human nose' b'Cat' b'Tree' b'Human eye'
 b'Tree' b'Human nose' b'Window' b'Human eye' b'Cat' b'Clothing' b'Cat'
 b'Tree' b'Tree' b'Clothing' b'Footwear' b'Human nose' b'Human nose'
 b'Tree' b'Cat' b'Human eye' b'Human eye' b'Tree' b'Window' b'Cat' b'Tree'
 b'Tree' b'Cat' b'Tree' b'Footwear' b'Human nose' b'Clothing'
 b'Human face' b'Footwear' b'Cat' b'Tree' b'Tree' b'Human eye' b'Tree'
 b'Cat' b'Window' b'Human nose' b'Cat' b'Tree' b'Tree' b'Human nose'
 b'Clothing' b'Human nose' b'Human nose' b'Footwear' b'Clothing' b'Cat'
 b'Cat' b'Tree' b'Plant' b'Tree' b'Tree' b'Tree' b'Tree' b'Human mouth'
 b'Cat' b'Human face' b'Clothing' b'Tree' b'Cat' b'Window' b'Window'
 b'Clothing' b'Plant' b'Plant' b'Plant' b'Plant' b'Flower' b'Clothing'
 b'Tree' b'Human eye' b'Cat' b'Plant' b'Human nose' b'Plant' b'Footwear'
 b'Cat' b'Plant' b'Tree' b'Footwear' b'Plant' b'Tree' b'Plant' b'Plant'
 b'Window' b'Human nose' b'Tree' b'Window' b'Plant' b'Cat' b'Cat' b'Tree'
 b'Cat']"
10.jpg,0.0714106559753418,"[0.95830405 0.10715786 0.08794099 0.08675627 0.07995055 0.07735877
 0.07476356 0.06251998 0.05950456 0.05816226 0.05601446 0.05478324
 0.054407   0.05173674 0.05172128 0.04883899 0.04840004 0.04818271
 0.04762642 0.04673063 0.04596617 0.045877   0.04586263 0.04483648
 0.04403285 0.04357375 0.04321317 0.0423337  0.04222536 0.04168558
 0.04132617 0.04066179 0.04037878 0.04013407 0.03766846 0.03750142
 0.0370593  0.0361542  0.0358035  0.03564641 0.03479525 0.03476809
 0.03431196 0.03412806 0.03337918 0.03306876 0.03296542 0.03288434
 0.03251049 0.03246089 0.03243981 0.03219185 0.0319971  0.03192735
 0.03181642 0.03155715 0.03151716 0.03130528 0.0306879  0.03043875
 0.03043306 0.03027445 0.03013382 0.03002199 0.02999332 0.02988857
 0.029869   0.02978503 0.02976782 0.02968744 0.02957855 0.02915554
 0.02898848 0.02887299 0.02885047 0.02882802 0.02846873 0.02826041
 0.0282415  0.02806873 0.0280441  0.0279438  0.02789128 0.02773685
 0.02762774 0.02742674 0.02734645 0.0272752  0.02717405 0.02717155
 0.02697471 0.02695553 0.02694706 0.02694017 0.02678642 0.02667858
 0.02666318 0.0266349  0.02654106 0.02651584]","[b'Cat' b'Human nose' b'Cat' b'Human eye' b'Human nose' b'Human eye'
 b'Cat' b'Human eye' b'Cat' b'Human nose' b'Cat' b'Cat' b'Flower'
 b'Human nose' b'Cat' b'Cat' b'Cat' b'Cat' b'Flower' b'Clothing'
 b'Human nose' b'Clothing' b'Human mouth' b'Human nose' b'Human nose'
 b'Human face' b'Fashion accessory' b'Cat' b'Fashion accessory'
 b'Human face' b'Cat' b'Human eye' b'Human face' b'Human face'
 b'Human eye' b'Human nose' b'Clothing' b'Human eye' b'Cat' b'Flower'
 b'Clothing' b'Fashion accessory' b'Clothing' b'Cat' b'Human face'
 b'Human face' b'Cat' b'Human eye' b'Flower' b'Fashion accessory' b'Plant'
 b'Cat' b'Human eye' b'Human face' b'Human nose' b'Fashion accessory'
 b'Human face' b'Human eye' b'Human face' b'Human face' b'Human eye'
 b'Human face' b'Human eye' b'Human hair' b'Human face' b'Flower'
 b'Fashion accessory' b'Human eye' b'Clothing' b'Clothing' b'Human face'
 b'Flower' b'Human eye' b'Fashion accessory' b'Flower' b'Human face'
 b'Fashion accessory' b'Cat' b'Fashion accessory' b'Human eye'
 b'Human eye' b'Human hair' b'Fashion accessory' b'Human face' b'Cat'
 b'Human hair' b'Human mouth' b'Human face' b'Human face' b'Clothing'
 b'Flower' b'Cat' b'Clothing' b'Human face' b'Cat' b'Fashion accessory'
 b'Cat' b'Human eye' b'Human face' b'Clothing']"
100.jpg,0.07133054733276367,"[0.95766497 0.12724824 0.11863052 0.09322352 0.08542274 0.08252452
 0.08113442 0.08060311 0.0707579  0.06906683 0.06781005 0.06459729
 0.06378417 0.06209047 0.06135573 0.06049737 0.05956748 0.05952767
 0.05904586 0.05886266 0.05774165 0.05753917 0.05594615 0.05493726
 0.05200693 0.05189545 0.05160389 0.05127291 0.05024644 0.04875731
 0.04704405 0.04690352 0.04683705 0.04618463 0.04581619 0.04574531
 0.04542827 0.04533706 0.04532553 0.04496144 0.04487847 0.04449537
 0.04437043 0.04412081 0.04295753 0.04265183 0.04228796 0.04194234
 0.04188337 0.04152094 0.04145886 0.04124005 0.04108427 0.04099893
 0.04096711 0.0408214  0.04078192 0.04011631 0.03942645 0.03928844
 0.03887403 0.0386559  0.03853235 0.03766461 0.03755609 0.0370778
 0.0361894  0.03615977 0.03573858 0.03554524 0.03532446 0.03512516
 0.0350509  0.03501372 0.0349292  0.03472078 0.03463691 0.03404305
 0.0339009  0.03383626 0.03301967 0.03295482 0.03271961 0.0326628
 0.03250659 0.03239286 0.03234151 0.03232308 0.03229102 0.03197652
 0.03159194 0.03137339 0.03119341 0.03112715 0.0310948  0.03080818
 0.03055193 0.02987281 0.02977436 0.02975781]","[b'Cat' b'Cat' b'Human eye' b'Cat' b'Human eye' b'Human eye' b'Human nose'
 b'Human eye' b'Cat' b'Cat' b'Cat' b'Human nose' b'Cat' b'Human eye'
 b'Human nose' b'Cat' b'Human face' b'Tree' b'Clothing' b'Cat'
 b'Human hand' b'Human eye' b'Cat' b'Human eye' b'Tree' b'Human eye'
 b'Cat' b'Cat' b'Clothing' b'Human arm' b'Cat' b'Cat' b'Clothing'
 b'Human nose' b'Human eye' b'Human eye' b'Human hand' b'Clothing'
 b'Human eye' b'Clothing' b'Cat' b'Clothing' b'Human eye' b'Human eye'
 b'Human hand' b'Human eye' b'Clothing' b'Cat' b'Human nose' b'Human eye'
 b'Clothing' b'Human hand' b'Cat' b'Human hand' b'Human arm' b'Clothing'
 b'Cat' b'Human nose' b'Human eye' b'Cat' b'Cat' b'Human nose' b'Clothing'
 b'Clothing' b'Clothing' b'Cat' b'Human hand' b'Human eye' b'Human hair'
 b'Cat' b'Cat' b'Human nose' b'Human arm' b'Clothing' b'Cat' b'Human hand'
 b'Cat' b'Human eye' b'Clothing' b'Cat' b'Human nose' b'Clothing'
 b'Human arm' b'Cat' b'Human hand' b'Cat' b'Clothing' b'Cat' b'Clothing'
 b'Human eye' b'Human face' b'Human face' b'Human eye' b'Human arm'
 b'Human arm' b'Cat' b'Human eye' b'Clothing' b'Clothing' b'Human eye']"
101.jpg,0.07058405876159668,"[0.70425797 0.4268677  0.31520963 0.15214068 0.14456315 0.11253926
 0.11037129 0.10982899 0.10006263 0.09422308 0.09232295 0.08839024
 0.08676241 0.07256979 0.07072455 0.0695843  0.06936231 0.06862766
 0.06660514 0.06501528 0.06436712 0.06344955 0.06334324 0.06271642
 0.06248606 0.06243598 0.06167071 0.06095985 0.06093327 0.05958897
 0.05837886 0.05821193 0.057825   0.05764574 0.05709455 0.05683299
 0.05611025 0.05461701 0.05458321 0.05387103 0.05384089 0.05304333
 0.05301946 0.05276854 0.05051513 0.05045255 0.05024543 0.04971199
 0.04963939 0.04945709 0.04908127 0.04907277 0.04896595 0.04887724
 0.048518   0.04845173 0.04721326 0.04697587 0.0469738  0.04623012
 0.04604419 0.04588219 0.04576091 0.04536676 0.04526711 0.04463445
 0.04443309 0.04439231 0.04386162 0.04378174 0.04370631 0.04351254
 0.04325387 0.04312193 0.04266355 0.042529   0.04183839 0.0415204
 0.04134528 0.0413164  0.04128327 0.04073332 0.04043927 0.04037066
 0.04022914 0.0401567  0.03992295 0.03978234 0.03965843 0.03952788
 0.03936901 0.03935397 0.03915165 0.03862393 0.03853647 0.03852583
 0.03826139 0.03784107 0.03764842 0.03747901]","[b'Cat' b'Cat' b'Cat' b'Cat' b'Squirrel' b'Cat' b'Cat' b'Cat' b'Fish'
 b'Cat' b'Cat' b'Tree' b'Tree' b'Cat' b'Cat' b'Fish' b'Cat' b'Cat'
 b'Human face' b'Footwear' b'Cat' b'Human face' b'Footwear' b'Tree' b'Cat'
 b'Human face' b'Tree' b'Tree' b'Clothing' b'Clothing' b'Human face'
 b'Clothing' b'Tree' b'Rabbit' b'Fish' b'Cat' b'Clothing' b'Tree'
 b'Clothing' b'Cat' b'Tree' b'Animal' b'Clothing' b'Tree' b'Tree' b'Fish'
 b'Cat' b'Tree' b'Clothing' b'Tree' b'Footwear' b'Dog' b'Footwear' b'Tree'
 b'Tree' b'Mouse' b'Cat' b'Cat' b'Fish' b'Fish' b'Tree' b'Clothing'
 b'Fish' b'Cat' b'Human face' b'Cat' b'Fish' b'Clothing' b'Fish' b'Fish'
 b'Tree' b'Clothing' b'Clothing' b'Fish' b'Tree' b'Footwear' b'Tree'
 b'Cat' b'Tree' b'Tree' b'Human face' b'Clothing' b'Clothing' b'Cat'
 b'Fish' b'Tree' b'Human face' b'Tree' b'Clothing' b'Clothing' b'Tree'
 b'Cat' b'Fish' b'Tree' b'Tree' b'Human face' b'Fish' b'Clothing' b'Tree'
 b'Tree']"
102.jpg,0.07010054588317871,"[0.9649358  0.08043686 0.06930289 0.06644688 0.05596677 0.05512708
 0.05396685 0.05256038 0.05151679 0.05116668 0.04992903 0.04901786
 0.04866927 0.04603616 0.04355155 0.04348269 0.04277463 0.04136106
 0.04032687 0.03920334 0.03758679 0.03751632 0.03725054 0.03522852
 0.03507128 0.03474553 0.03395159 0.03361676 0.03310722 0.03308097
 0.03210301 0.03175051 0.03151485 0.030031   0.02999911 0.02991592
 0.029785   0.02951108 0.02934747 0.0280783  0.02760609 0.02733292
 0.02702252 0.02687681 0.02675242 0.02623256 0.0261993  0.02616836
 0.02606969 0.02561872 0.02505523 0.02497607 0.02493082 0.02487725
 0.02472075 0.02470865 0.02468711 0.02468362 0.02450717 0.02447112
 0.02444026 0.02422904 0.02398316 0.02390748 0.02389756 0.02379383
 0.02378446 0.0236409  0.02362349 0.02357562 0.02354613 0.02345617
 0.02306705 0.02303108 0.0229354  0.02270263 0.02262153 0.02259715
 0.02241194 0.02218885 0.0219834  0.02190411 0.02172798 0.02167262
 0.0216242  0.02131491 0.02130163 0.02128145 0.02125985 0.02117833
 0.02112125 0.02097662 0.02092902 0.02084784 0.02064609 0.02063924
 0.02061169 0.02060052 0.02050241 0.02037795]","[b'Cat' b'Cat' b'Cat' b'Cat' b'Cat' b'Cat' b'Cat' b'Human eye' b'Cat'
 b'Human eye' b'Cat' b'Cat' b'Cat' b'Cat' b'Cat' b'Plant' b'Human eye'
 b'Human eye' b'Human eye' b'Cat' b'Human eye' b'Cat' b'Cat' b'Cat'
 b'Human eye' b'Human eye' b'Cat' b'Cat' b'Human eye' b'Cat' b'Tree'
 b'Human ear' b'Human eye' b'Human ear' b'Human eye' b'Cat' b'Cat'
 b'Human eye' b'Human eye' b'Cat' b'Cat' b'Cat' b'Human hair' b'Human eye'
 b'Human face' b'Plant' b'Human ear' b'Clothing' b'Cat' b'Plant' b'Cat'
 b'Cat' b'Man' b'Cat' b'Human ear' b'Marine invertebrates' b'Tree' b'Cat'
 b'Marine invertebrates' b'Cat' b'Clothing' b'Cat' b'Cat' b'Human eye'
 b'Cat' b'Plant' b'Human face' b'Human eye' b'Cat' b'Human ear'
 b'Human face' b'Human nose' b'Human face' b'Cat' b'Human eye'
 b'Human eye' b'Clothing' b'Human eye' b'Marine invertebrates'
 b'Human hair' b'Cat' b'Human eye' b'Cat' b'Human face' b'Human face'
 b'Human nose' b'Human eye' b'Human hair' b'Cat' b'Human nose'
 b'Human ear' b'Human eye' b'Human hair' b'Human eye' b'Plant' b'Plant'
 b'Human eye' b'Human eye' b'Human face' b'Cat']"
103.jpg,0.06868362426757812,"[0.95971334 0.08031072 0.07303847 0.0634946  0.06254854 0.06148944
 0.05909637 0.05824223 0.05654015 0.05653744 0.05595327 0.0546826
 0.05451892 0.05420295 0.05380191 0.05359058 0.05277457 0.0515188
 0.04981224 0.04818828 0.04702054 0.04693834 0.04667375 0.0459698
 0.04411155 0.04409004 0.04369734 0.04350988 0.04324207 0.04090616
 0.04062596 0.03967149 0.03922316 0.03818745 0.03817803 0.03775261
 0.03722265 0.03659184 0.03656981 0.03652103 0.03638228 0.0361797
 0.03600114 0.03584967 0.035525   0.03550292 0.03529296 0.03506901
 0.03502947 0.03427726 0.03426975 0.03394454 0.03366385 0.03365391
 0.03349359 0.03342976 0.033237   0.0332     0.03253424 0.03217435
 0.03214247 0.03209672 0.0320828  0.03188912 0.03183335 0.03121561
 0.03109614 0.03091001 0.03050552 0.03044999 0.03035785 0.03017665
 0.03000893 0.02982125 0.02953906 0.02934852 0.02924178 0.02908128
 0.02882678 0.02877612 0.02863339 0.0285891  0.02857661 0.02821399
 0.02818206 0.02811952 0.02810868 0.02805758 0.02792895 0.02779871
 0.02746657 0.02737156 0.02734922 0.02733336 0.02733043 0.02731584
 0.02704082 0.0270058  0.02685715 0.0268116 ]","[b'Cat' b'Tree' b'Tree' b'Tree' b'Human nose' b'Human eye' b'Tree'
 b'Human eye' b'Human eye' b'Tree' b'Tree' b'Cat' b'Human eye'
 b'Human nose' b'Tree' b'Cat' b'Human eye' b'Human nose' b'Cat' b'Tree'
 b'Cat' b'Tree' b'Plant' b'Plant' b'Human eye' b'Tree' b'Cat' b'Tree'
 b'Human eye' b'Tree' b'Human eye' b'Tree' b'Tree' b'Cat' b'Chair' b'Tree'
 b'Tree' b'Cat' b'Cat' b'Tree' b'Chair' b'Tree' b'Tree' b'Tree' b'Cat'
 b'Human eye' b'Window' b'Plant' b'Window' b'Tree' b'Tree' b'Clothing'
 b'Clothing' b'Human nose' b'Human arm' b'Tree' b'Tree' b'Tree' b'Cat'
 b'Cat' b'Plant' b'Cat' b'Tree' b'Plant' b'Human eye' b'Cat' b'Plant'
 b'Tree' b'Plant' b'Cat' b'Plant' b'Plant' b'Plant' b'Window' b'Tree'
 b'Plant' b'Window' b'Human eye' b'Cat' b'Cat' b'Tree' b'Cat' b'Tree'
 b'Tree' b'Window' b'Tree' b'Window' b'Tree' b'Human nose' b'Tree' b'Tree'
 b'Tree' b'Cat' b'Plant' b'Cat' b'Cat' b'Tree' b'Human nose' b'Tree'
 b'Cat']"
104.jpg,0.06971430778503418,"[0.9637038  0.10714623 0.10162185 0.08445448 0.06976506 0.06843723
 0.06616481 0.0619957  0.06109655 0.06063058 0.06023015 0.05748302
 0.05732192 0.05622477 0.05420107 0.05184354 0.05141584 0.05135013
 0.04895924 0.04769018 0.04749755 0.04749231 0.04721817 0.0468065
 0.04629046 0.04564251 0.04519911 0.04399931 0.0436148  0.04207116
 0.04196104 0.04192819 0.04096497 0.03806232 0.03784925 0.03763201
 0.03712279 0.03708705 0.03677636 0.0366925  0.03663962 0.03583796
 0.03539124 0.03489208 0.03451835 0.03433815 0.03422757 0.03402689
 0.0335504  0.03327121 0.03326309 0.03323261 0.03297732 0.03290762
 0.03283686 0.03273582 0.03223205 0.03162498 0.03156628 0.03147988
 0.03143312 0.03133841 0.03116407 0.03111282 0.03087159 0.03077935
 0.03064157 0.03013913 0.03012104 0.02954016 0.02943756 0.0294264
 0.02940833 0.02899485 0.0287688  0.02868781 0.02795842 0.02793108
 0.02782987 0.02776527 0.02770503 0.02768681 0.02767644 0.02767478
 0.0276453  0.02760409 0.02748645 0.02735762 0.02732199 0.02729811
 0.02721827 0.02715726 0.0271572  0.02706885 0.02693171 0.0269282
 0.02665809 0.02646838 0.02627969 0.02614357]","[b'Cat' b'Human eye' b'Cat' b'Human eye' b'Human eye' b'Human nose'
 b'Human eye' b'Human nose' b'Cat' b'Human nose' b'Tree' b'Tree'
 b'Human eye' b'Cat' b'Human eye' b'Human eye' b'Human eye' b'Human nose'
 b'Tree' b'Cat' b'Cat' b'Human eye' b'Cat' b'Human nose' b'Human eye'
 b'Human nose' b'Human eye' b'Cat' b'Human eye' b'Human nose' b'Window'
 b'Tree' b'Human nose' b'Human eye' b'Clothing' b'Plant' b'Window' b'Cat'
 b'Cat' b'Human eye' b'Window' b'Cat' b'Human eye' b'Cat' b'Cat' b'Plant'
 b'Human nose' b'Cat' b'Human nose' b'Cat' b'Window' b'Cat' b'Cat' b'Cat'
 b'Human face' b'Human nose' b'Cat' b'Human eye' b'Human nose' b'Tree'
 b'Tree' b'Cat' b'Clothing' b'Human eye' b'Cat' b'Human eye' b'Clothing'
 b'Cat' b'Plant' b'Clothing' b'Cat' b'Human nose' b'Human eye' b'Cat'
 b'Plant' b'Fashion accessory' b'Clothing' b'Clothing' b'Cat'
 b'Human nose' b'Flower' b'Human eye' b'Human face' b'Cat' b'Window'
 b'Human nose' b'Clothing' b'Clothing' b'Cat' b'Clothing' b'Cat' b'Window'
 b'Human face' b'Clothing' b'Cat' b'Tree' b'Human nose' b'Human mouth'
 b'Plant' b'Flower']"
105.jpg,0.07097673416137695,"[0.87935674 0.41362634 0.1135877  0.1105051  0.10155474 0.08988401
 0.08460896 0.07963292 0.07772835 0.07069741 0.06580335 0.06554418
 0.06043041 0.0603401  0.0587494  0.05710664 0.05360899 0.05328758
 0.05143789 0.05073351 0.05039239 0.05024051 0.04989748 0.0477062
 0.04654667 0.0463578  0.04520191 0.04494906 0.04458725 0.04458595
 0.04455101 0.04410214 0.04333371 0.04258957 0.04243773 0.04214036
 0.0419475  0.04130977 0.04107749 0.03974073 0.03940532 0.03898261
 0.03890858 0.038782   0.03854762 0.03822033 0.03801178 0.03672719
 0.03672692 0.03667146 0.03657771 0.03598908 0.03548346 0.03539068
 0.03523552 0.03505039 0.03479678 0.03472952 0.03471834 0.03455605
 0.03429508 0.03426567 0.03405801 0.0339139  0.03347937 0.0329135
 0.03270014 0.03261026 0.03229743 0.0319595  0.03142192 0.03134992
 0.03120616 0.03099174 0.03064453 0.03064154 0.03029935 0.03019493
 0.03009255 0.02990391 0.02987941 0.02987137 0.02986642 0.02934683
 0.02929072 0.02907177 0.02881941 0.02866816 0.02842747 0.02834453
 0.02815485 0.02769235 0.02751426 0.0274436  0.02740488 0.0273287
 0.02719692 0.02718518 0.02693841 0.0267891 ]","[b'Cat' b'Cat' b'Cat' b'Human eye' b'Cat' b'Human nose' b'Cat' b'Dog'
 b'Human nose' b'Cat' b'Cat' b'Human eye' b'Cat' b'Cat' b'Clothing' b'Cat'
 b'Cat' b'Cat' b'Cat' b'Clothing' b'Cat' b'Dog' b'Cat' b'Dog' b'Human eye'
 b'Cat' b'Plant' b'Cat' b'Cat' b'Cat' b'Cat' b'Plant' b'Human eye' b'Cat'
 b'Human eye' b'Flower' b'Cat' b'Human face' b'Clothing' b'Cat'
 b'Human nose' b'Plant' b'Dog' b'Human arm' b'Human face' b'Plant'
 b'Human eye' b'Cat' b'Plant' b'Cat' b'Human face' b'Cat' b'Plant'
 b'Human face' b'Cat' b'Toy' b'Human nose' b'Dog' b'Human nose'
 b'Human nose' b'Human face' b'Toy' b'Human eye' b'Cat' b'Tree' b'Toy'
 b'Tree' b'Plant' b'Human eye' b'Plant' b'Man' b'Plant' b'Human nose'
 b'Plant' b'Plant' b'Human nose' b'Flower' b'Fashion accessory' b'Flower'
 b'Clothing' b'Tree' b'Flower' b'Flower' b'Human nose' b'Toy' b'Clothing'
 b'Clothing' b'Human arm' b'Plant' b'Clothing' b'Human nose' b'Clothing'
 b'Cat' b'Human nose' b'Flower' b'Clothing' b'Cat' b'Clothing' b'Cat'
 b'Flower']"
106.jpg,0.07194781303405762,"[0.9646616  0.07529733 0.07488479 0.07364093 0.06988695 0.06633005
 0.06616067 0.06216603 0.06135873 0.05953783 0.05935728 0.05818037
 0.05635361 0.05602229 0.05589917 0.0551249  0.05499736 0.0541178
 0.05380872 0.05294311 0.0522654  0.05192224 0.05090081 0.0508981
 0.04979304 0.04893768 0.04870966 0.04845894 0.04830854 0.04762296
 0.04715307 0.04713303 0.04699977 0.04550552 0.0449448  0.04439332
 0.04426443 0.04412568 0.04404852 0.04382432 0.04367688 0.04259811
 0.04222902 0.0418499  0.041339   0.04129915 0.04121282 0.04047444
 0.04006148 0.03918249 0.03897489 0.03879867 0.03837846 0.03833374
 0.03827803 0.03824043 0.03800513 0.03719011 0.03692902 0.03621899
 0.03616836 0.03612105 0.0357284  0.03564234 0.03527669 0.03519309
 0.03512441 0.03503584 0.03501374 0.03499205 0.03479168 0.03457561
 0.03446032 0.03379276 0.03353512 0.03328338 0.0332529  0.03321685
 0.03293897 0.03282981 0.03255943 0.0324691  0.03235585 0.0322905
 0.03206873 0.03195122 0.03185635 0.03184595 0.03184487 0.03151092
 0.03089269 0.03082999 0.03080787 0.03070122 0.03056653 0.03048739
 0.0304641  0.03036692 0.03033951 0.03008114]","[b'Cat' b'Cat' b'Cat' b'Cat' b'Cat' b'Footwear' b'Human nose' b'Footwear'
 b'Human eye' b'Footwear' b'Cat' b'Footwear' b'Clothing' b'Cat'
 b'Human eye' b'Human nose' b'Cat' b'Clothing' b'Cat' b'Cat' b'Clothing'
 b'Human arm' b'Footwear' b'Cat' b'Clothing' b'Footwear' b'Clothing'
 b'Footwear' b'Footwear' b'Cat' b'Clothing' b'Human eye' b'Cat' b'Cat'
 b'Footwear' b'Human eye' b'Fashion accessory' b'Cat' b'Human nose'
 b'Footwear' b'Cat' b'Footwear' b'Food' b'Clothing' b'Human eye'
 b'Human nose' b'Human face' b'Cat' b'Food' b'Cat' b'Human nose'
 b'Clothing' b'Cat' b'Cat' b'Footwear' b'Human eye' b'Clothing' b'Cat'
 b'Cat' b'Human face' b'Clothing' b'Fashion accessory' b'Human face'
 b'Cat' b'Cat' b'Footwear' b'Cat' b'Clothing' b'Cat' b'Footwear' b'Cat'
 b'Cat' b'Clothing' b'Clothing' b'Clothing' b'Human leg' b'Cat'
 b'Human arm' b'Cat' b'Human leg' b'Cat' b'Cat' b'Footwear' b'Clothing'
 b'Clothing' b'Clothing' b'Cat' b'Clothing' b'Cat' b'Human arm' b'Cat'
 b'Human nose' b'Footwear' b'Window' b'Clothing' b'Human arm'
 b'Human mouth' b'Human eye' b'Clothing' b'Cat']"
